Date,Open,High,Low,Close,Adj Close,Volume
2018-10-08,80.940002,81.419998,79.580002,81.010002,78.436867,445500
2018-10-09,80.690002,80.720001,75.870003,76.150002,74.097099,1087100
2018-10-10,69.449997,70.000000,59.910000,60.349998,58.723045,2586200
2018-10-11,59.990002,60.967999,58.259998,59.509998,57.905689,1290200
2018-10-12,60.630001,61.790001,60.505001,61.490002,59.832314,665500
2018-10-15,61.360001,61.619999,59.794998,60.330002,58.703590,487800
2018-10-16,60.759998,61.750000,60.060001,61.410000,59.754471,515500
2018-10-17,61.540001,61.588001,59.810001,60.549999,58.917660,346600
2018-10-18,60.119999,60.980000,57.119999,57.869999,56.309906,517100
2018-10-19,57.840000,57.910000,56.430000,57.389999,55.842846,454100
2018-10-22,57.380001,57.610001,56.393002,56.660000,55.132526,329800
2018-10-23,55.349998,56.810001,53.990002,56.080002,54.568165,533500
2018-10-24,56.230000,56.230000,52.009998,52.130001,50.724648,385300
2018-10-25,52.990002,53.750000,52.160000,52.880001,51.454430,598900
2018-10-26,52.160000,53.750000,50.200001,53.580002,52.135555,561700
2018-10-29,54.430000,55.779999,52.040001,52.869999,51.444698,386700
2018-10-30,52.730000,54.040001,51.919998,53.150002,51.717152,349100
2018-10-31,54.369999,54.939999,53.200001,53.880001,52.427467,390100
2018-11-01,54.430000,57.365002,53.830002,56.919998,55.385513,353800
2018-11-02,57.220001,57.674000,56.345001,57.189999,55.648239,241300
2018-11-05,57.240002,58.000000,55.880001,57.099998,55.560661,412300
2018-11-06,57.299999,59.000000,56.755001,57.970001,56.407211,397800
2018-11-07,58.590000,60.150002,57.619999,59.709999,58.100304,479400
2018-11-08,59.110001,59.669998,57.455002,57.730000,56.173679,312800
2018-11-09,54.250000,57.099998,53.669998,55.770000,54.266521,796500
2018-11-12,55.259998,55.830002,48.540001,48.619999,47.309273,791400
2018-11-13,48.230000,48.939999,44.060001,44.990002,43.777130,1717300
2018-11-14,45.500000,47.240002,45.439999,46.250000,45.003162,1093200
2018-11-15,47.759998,49.750000,47.139999,49.360001,48.029324,1041400
